DJ Name,Num Sampled By
Tiësto,43
Paul van Dyk,11
Armin Van Buuren,13
Sasha,2
Ferry Corsten,15
Hernan Cattaneo,0
Christopher Lawrence,0
John Digweed,0
Paul Oakenfold,18
Deep Dish,2
Carl Cox,13
Sander Kleinenberg,2
ATB,12
Judge Jules,0
James Zabiela,0
Marco V,3
Roger Sanchez,19
Benny Benassi,16
Tall Paul,2
Danny Howells,1
Steve Lawler,0
Erick Morillo,4
Chris Liebing,4
DJ Dan,27
Eddie Halliwell,0
Andy C,64
Mauro Picotto,23
Johan Gielen,0
Lady Dana,6
Lisa Lashes,10
Adam Freeland,6
Markus Schulz,3
Yoji Biomehanika,4
Sven Väth,1
Bad Boy Bill,37
James Holden,1
Dave Clarke,13
Blank & Jones,5
Above & Beyond,7
Danny Tenaglia,11
Gabriel & Dresden,4
TBC,1
Nick Warren,0
Richie Hawtin,3
Laurent Garnier,9
Pete Tong,4
Jeff Mills,18
Satoshi Tomiie,2
Misstress Barbara,1
Adam Beyer,2
Fatboy Slim,552
John '00' Fleming,0
Plump DJ's,0
David Morales,5
Umek,10
Lee Burridge,0
Dave Seaman,0
Fergie,47
Matt Hardwick,0
Slacker,0
DJ Luna,5
M.I.K.E.,0
DJ Rush,6
Max Graham,0
Infected Mushroom,31
Mario Piu,0
David Guetta,79
DJ Vibe,1
Kai Tracid,3
Tiga,11
DJ Yahel,0
Andy Moor,0
Ricardo Villalobos,10
Ricky Stone,0
Martin Garcia,0
Frank T.R.A.X,0
Timo Maas,8
Desyn Masiello,0
Victor Calderone,1
Armand Van Helden,164
Michel De Hey,1
The Flash Brothers,0
Donald Glaude,0
Chus & Ceballos,1
DJ Tatana,0
Astrix,26
Nic Fanciulli,13
Rank 1,4
BT,27
Anne Savage,3
Miss Kitten,0
Felix Da Housecat,21
Christian Cambas,0
Scot Project,0
Cosmic Gate,8
Matt Darey,1
DJ Sammy,1
Proteus,0
Moshic,0
DJ Amadeus,0
Gigi D'Agostino,96
Marco Bailey,2
Magda,0
John Acquaviva,0
Flash Brothers,0
Offer Nissim,4
Sander Van Doorn,14
Gareth Emery,3
Phil Kieran,2
DJ Skazi,0
D-Formation,0
The Thrillseekers,0
Kyau & Albert,0
Bob Sinclair,0
Lange,1
Wrecked Machines,0
Dion Mavath,0
George Acosta,2
Joachim Garraud,5
Steve Angello,25
Simon Posford,0
John Graham,1
Menno De Jong,0
Scott K,1
Filo & Peri,0
DJ Tarkan,0
Anderson Noise,0
Serge Devant,2
Darude,2
Tallah 2XLC,0
Ronski Speed,0
Axel Karakasis,0
Steve Porter,2
Axwell,12
