,DJ Name,Mean Ranking,Num Years,Num Sampled
0,Tiësto,7.142857142857143,21,53
1,Paul van Dyk,29.714285714285715,21,5
2,Armin Van Buuren,2.9523809523809526,21,27
3,Sasha,16.25,8,11
4,Ferry Corsten,47.285714285714285,21,7
5,Carl Cox,33.285714285714285,21,6
6,ATB,35.666666666666664,21,20
7,Judge Jules,28.375,8,2
8,Marco V,33.0,7,2
9,Roger Sanchez,46.625,8,16
10,Benny Benassi,37.5,10,62
11,Erick Morillo,39.25,8,14
12,Chris Liebing,49.6,5,1
13,Andy C,73.54545454545455,11,8
14,Mauro Picotto,49.6,5,19
15,Lisa Lashes,70.0,6,1
16,Adam Freeland,31.0,1,7
17,Markus Schulz,30.357142857142858,14,2
18,Sven Väth,44.375,8,3
19,Bad Boy Bill,47.6,5,2
20,James Holden,44.0,4,3
21,Blank & Jones,48.5,6,2
22,Above & Beyond,22.857142857142858,21,10
23,Danny Tenaglia,44.4,5,24
24,Laurent Garnier,66.0,3,5
25,Jeff Mills,62.666666666666664,3,4
26,Satoshi Tomiie,60.5,2,31
27,Fatboy Slim,75.42857142857143,7,152
28,David Morales,54.0,1,10
29,Umek,60.666666666666664,12,1
30,Dave Seaman,77.25,4,1
31,Fergie,67.66666666666667,3,75
32,Slacker,60.0,1,2
33,DJ Rush,64.0,2,8
34,Infected Mushroom,31.181818181818183,11,8
35,David Guetta,7.05,20,175
36,Tiga,55.25,4,5
37,Andy Moor,38.5,8,4
38,Ricardo Villalobos,50.75,4,1
39,Armand Van Helden,73.5,2,36
40,Nic Fanciulli,79.5,4,1
41,Rank 1,79.0,2,2
42,BT,76.75,4,34
43,Felix Da Housecat,87.0,1,6
44,Cosmic Gate,58.333333333333336,9,6
45,Matt Darey,63.714285714285715,7,3
46,DJ Sammy,76.5,2,15
47,Gigi D'Agostino,98.0,1,124
48,Marco Bailey,76.0,2,2
49,Sander Van Doorn,29.6,10,4
50,Gareth Emery,28.444444444444443,9,1
51,The Thrillseekers,61.25,4,1
52,Kyau & Albert,40.8,5,3
53,Lange,49.333333333333336,6,6
54,Steve Angello,43.714285714285715,14,14
55,Filo & Peri,80.5,2,1
56,Darude,84.0,1,41
57,Ronski Speed,73.2,5,1
58,Steve Porter,91.0,1,1
59,Axwell,28.11111111111111,9,12
60,Stanton Warriors,94.0,1,2
61,Fedde Le Grand,28.61111111111111,18,10
62,Yahel,58.0,3,2
63,Eric Prydz,38.55555555555556,18,24
64,Justice,73.75,4,188
65,Daft Punk,46.4,10,776
66,Martin Solveig,59.75,8,24
67,Trentemøller,76.0,1,9
68,The Chemical Brothers,85.0,2,105
69,Luciano,88.33333333333333,3,1
70,Westbam,92.0,1,29
71,Deadmau5,35.64705882352941,17,83
72,Dubfire,50.0,3,2
73,Laidback Luke,40.333333333333336,9,17
74,John O'Callaghan,57.714285714285715,7,1
75,Laurent Wolf,75.0,3,2
76,DJ Hype,71.0,1,9
77,Signum,72.0,1,1
78,Dirty South,75.4,5,5
79,Solar System,85.0,1,1
80,Mike Koglin,87.5,2,2
81,Astral Projection,80.5,2,1
82,Tocadisco,91.0,2,6
83,Booka Shade,99.0,1,9
84,Sebastian Ingrosso,26.333333333333332,6,14
85,Kaskade,44.57142857142857,7,33
86,Boys Noize,80.0,3,7
87,Moonbeam,68.75,4,2
88,Super8 & Tab,71.0,2,2
89,Daniel Kandi,82.0,2,2
90,John B,84.0,2,1
91,Gui Boratto,98.0,1,4
92,Alex M.O.R.P.H.,99.0,1,1
93,Dash Berlin,13.25,8,11
94,Afrojack,8.8,15,52
95,Swedish House Mafia,43.9,10,42
96,Headhunterz,31.545454545454547,11,12
97,Avicii,13.11111111111111,9,106
98,Mat Zo,76.0,4,7
99,Wolfgang Gartner,62.0,3,6
100,W&W,21.333333333333332,15,9
101,D-Block & S-te-Fan,62.25,4,1
102,Arty,57.4,5,7
103,Boy George,86.33333333333333,3,6
104,Paul Kalkbrenner,86.66666666666667,6,13
105,Dada Life,47.6,5,13
106,Noisecontrollers,57.0,5,3
107,Showtek,54.333333333333336,6,15
108,Calvin Harris,24.533333333333335,15,135
109,Skrillex,15.928571428571429,14,302
110,Hardwell,12.615384615384615,13,14
111,Angerfist,42.61538461538461,13,6
112,Steve Aoki,12.0,14,21
113,Zatox,63.833333333333336,6,5
114,Alesso,40.07142857142857,14,15
115,Psyko Punkz,72.5,2,2
116,Dimitri Vegas & Like Mike,10.571428571428571,14,18
117,Wildstylez,71.4,5,4
118,Tritonal,74.0,2,6
119,AN21,73.0,2,2
120,Felguk,84.4,5,1
121,Nero,85.5,2,16
122,Tenishia,70.0,5,2
123,Sidney Samson,92.0,1,8
124,Porter Robinson,67.85714285714286,7,146
125,Nicky Romero,25.76923076923077,13,16
126,Knife Party,52.75,4,29
127,Nervo,32.38461538461539,13,2
128,Zedd,41.15384615384615,13,115
129,Madeon,65.33333333333333,3,79
130,Tommy Trash,58.5,2,3
131,Bingo Players,71.33333333333333,3,18
132,R3hab,23.846153846153847,13,6
133,Wasted Penguinz,79.0,2,3
134,Frontliner,58.5,4,1
135,Thomas Gold,85.5,2,1
136,Feed Me,85.0,1,5
137,Mike Candys,83.5,4,1
138,Netsky,85.0,3,8
139,Neelix,96.0,1,1
140,Da Tweekaz,76.5,8,2
141,Project 46,85.0,2,1
142,Dyro,44.25,4,2
143,Martin Garrix,5.166666666666667,12,51
144,Krewella,52.666666666666664,3,15
145,Vicetone,62.0,5,3
146,Gunz For Hire,63.0,1,1
147,Diplo,38.75,8,41
148,Blasterjaxx,45.09090909090909,11,4
149,Dillon Francis,68.8,5,7
150,Dannic,52.2,5,1
151,Stafford Brothers,90.0,1,1
152,DJs From Mars,95.0,1,1
153,Ummet Ozcan,45.09090909090909,11,2
154,Deorro,55.0,6,8
155,DVBBS,25.142857142857142,7,5
156,Oliver Heldens,14.272727272727273,11,5
157,Borgore,61.666666666666664,3,2
158,Firebeatz,66.33333333333333,3,2
159,Gabry Ponte,61.0,1,3
160,VINAI,42.36363636363637,11,6
161,MAKJ,73.0,2,4
162,DJ Snake,32.27272727272727,11,88
163,Carnage,79.5,4,2
164,Zomboy,77.0,1,18
165,TJR,80.0,1,9
166,3lau,81.0,1,6
167,Don Diablo,18.272727272727273,11,8
168,Wolfpack,51.714285714285715,7,4
