,DJ Name,Mean Ranking,Num Years,Num Sampled from,Num Sampled by
0,Tiësto,7.142857142857143,21,53,43
1,Paul van Dyk,29.714285714285715,21,5,11
2,Armin Van Buuren,2.9523809523809526,21,27,13
3,Sasha,16.25,8,11,2
4,Ferry Corsten,47.285714285714285,21,7,15
5,Hernan Cattaneo,28.625,8,0,0
6,Christopher Lawrence,16.25,4,0,0
7,John Digweed,25.88888888888889,9,0,0
8,Paul Oakenfold,36.4,10,0,18
9,Deep Dish,16.0,5,0,2
10,Carl Cox,33.285714285714285,21,6,13
11,Sander Kleinenberg,37.166666666666664,6,0,2
12,ATB,35.666666666666664,21,20,12
13,Judge Jules,28.375,8,2,0
14,James Zabiela,33.0,8,0,0
15,Marco V,33.0,7,2,3
16,Roger Sanchez,46.625,8,16,19
17,Benny Benassi,37.5,10,62,16
18,Tall Paul,45.666666666666664,3,0,2
19,Danny Howells,43.25,4,0,1
20,Steve Lawler,50.333333333333336,6,0,0
21,Erick Morillo,39.25,8,14,4
22,Chris Liebing,49.6,5,1,4
23,DJ Dan,17.666666666666668,3,0,27
24,Eddie Halliwell,30.75,8,0,0
25,Andy C,73.54545454545455,11,8,64
26,Mauro Picotto,49.6,5,19,23
27,Johan Gielen,42.5,2,0,0
28,Lady Dana,53.5,2,0,6
29,Lisa Lashes,70.0,6,1,10
30,Adam Freeland,31.0,1,7,6
31,Markus Schulz,30.357142857142858,14,2,3
32,Yoji Biomehanika,52.333333333333336,3,0,4
33,Sven Väth,44.375,8,3,1
34,Bad Boy Bill,47.6,5,2,37
35,James Holden,44.0,4,3,1
36,Dave Clarke,65.75,4,0,13
37,Blank & Jones,48.5,6,2,5
38,Above & Beyond,22.857142857142858,21,10,7
39,Danny Tenaglia,44.4,5,24,11
40,Gabriel & Dresden,35.6,5,0,4
41,TBC,42.0,1,0,1
42,Nick Warren,50.5,6,0,0
43,Richie Hawtin,48.6,15,0,3
44,Laurent Garnier,66.0,3,5,9
45,Pete Tong,62.42857142857143,7,0,4
46,Jeff Mills,62.666666666666664,3,4,18
47,Satoshi Tomiie,60.5,2,31,2
48,Misstress Barbara,54.0,2,0,1
49,Adam Beyer,62.6,10,0,2
50,Fatboy Slim,75.42857142857143,7,152,552
51,John '00' Fleming,62.0,2,0,0
52,Plump DJ's,69.0,2,0,0
53,David Morales,54.0,1,10,5
54,Umek,60.666666666666664,12,1,10
55,Lee Burridge,76.25,4,0,0
56,Dave Seaman,77.25,4,1,0
57,Fergie,67.66666666666667,3,75,47
58,Matt Hardwick,59.4,5,0,0
59,Slacker,60.0,1,2,0
60,DJ Luna,77.5,2,0,5
61,M.I.K.E.,71.66666666666667,3,0,0
62,DJ Rush,64.0,2,8,6
63,Max Graham,80.0,2,0,0
64,Infected Mushroom,31.181818181818183,11,8,31
65,Mario Piu,63.5,2,0,0
66,David Guetta,7.05,20,175,79
67,DJ Vibe,65.0,6,0,1
68,Kai Tracid,41.0,1,0,3
69,Tiga,55.25,4,5,11
70,DJ Yahel,36.5,2,0,0
71,Andy Moor,38.5,8,4,0
72,Ricardo Villalobos,50.75,4,1,10
73,Ricky Stone,47.75,4,0,0
74,Martin Garcia,50.0,1,0,0
75,Frank T.R.A.X,58.0,2,0,0
76,Timo Maas,58.333333333333336,3,0,8
77,Desyn Masiello,64.66666666666667,3,0,0
78,Victor Calderone,75.66666666666667,3,0,1
79,Armand Van Helden,73.5,2,36,164
80,Michel De Hey,62.0,1,0,1
81,The Flash Brothers,66.0,1,0,0
82,Donald Glaude,61.0,3,0,0
83,Chus & Ceballos,82.5,2,0,1
84,DJ Tatana,74.0,1,0,0
85,Astrix,49.142857142857146,7,0,26
86,Nic Fanciulli,79.5,4,1,13
87,Rank 1,79.0,2,2,4
88,BT,76.75,4,34,27
89,Anne Savage,83.0,1,0,3
90,Miss Kitten,86.0,1,0,0
91,Felix Da Housecat,87.0,1,6,21
92,Christian Cambas,88.0,1,0,0
93,Scot Project,89.0,1,0,0
94,Cosmic Gate,58.333333333333336,9,6,8
95,Matt Darey,63.714285714285715,7,3,1
96,DJ Sammy,76.5,2,15,1
97,Proteus,93.0,1,0,0
98,Moshic,95.0,1,0,0
99,DJ Amadeus,60.5,2,0,0
100,Gigi D'Agostino,98.0,1,124,96
101,Marco Bailey,76.0,2,2,2
102,Magda,87.66666666666667,3,0,0
103,John Acquaviva,43.0,2,0,0
104,Flash Brothers,23.0,1,0,0
105,Offer Nissim,44.75,4,0,4
106,Sander Van Doorn,29.6,10,4,14
107,Gareth Emery,28.444444444444443,9,1,3
108,Phil Kieran,35.0,1,0,2
109,DJ Skazi,37.0,1,0,0
110,D-Formation,39.0,1,0,0
111,The Thrillseekers,61.25,4,1,0
112,Kyau & Albert,40.8,5,3,0
113,Bob Sinclair,55.375,8,0,0
114,Lange,49.333333333333336,6,6,1
115,Wrecked Machines,55.0,1,0,0
116,Dion Mavath,56.0,1,0,0
117,George Acosta,59.0,1,0,2
118,Joachim Garraud,48.6,5,0,5
119,Steve Angello,43.714285714285715,14,14,25
120,Simon Posford,80.5,2,0,0
121,John Graham,73.5,2,0,1
122,Menno De Jong,59.5,4,0,0
123,Scott K,74.0,1,0,1
124,Filo & Peri,80.5,2,1,0
125,DJ Tarkan,78.0,1,0,0
126,Anderson Noise,53.0,3,0,0
127,Serge Devant,81.0,1,0,2
128,Darude,84.0,1,41,2
129,Tallah 2XLC,86.0,1,0,0
130,Ronski Speed,73.2,5,1,0
131,Axel Karakasis,90.0,1,0,0
132,Steve Porter,91.0,1,1,2
133,Axwell,28.11111111111111,9,12,12
134,Stanton Warriors,94.0,1,2,34
135,Robbie Rivera,90.0,3,0,22
136,Agnelli & Nelson,81.5,2,0,1
137,Fedde Le Grand,28.61111111111111,18,10,23
138,Yahel,58.0,3,2,4
139,Eric Prydz,38.55555555555556,18,24,16
140,Mark Knight,62.5,6,0,35
141,Justice,73.75,4,188,75
142,Daft Punk,46.4,10,776,113
143,Martin Solveig,59.75,8,24,6
144,Valentino Kanzyani,75.0,1,0,0
145,Trentemøller,76.0,1,9,5
146,The Chemical Brothers,85.0,2,105,310
147,Luciano,88.33333333333333,3,1,5
148,Hype,82.0,1,0,0
149,Richard Durand,68.0,6,0,1
150,Westbam,92.0,1,29,89
151,Sébastien Léger,86.66666666666667,3,0,22
152,Wally Lopez,74.25,4,0,6
153,Erol Alkan,99.0,1,0,6
154,Deadmau5,35.64705882352941,17,83,84
155,Bobina,49.75,8,0,1
156,Dubfire,50.0,3,2,0
157,Aly & Fila,33.81818181818182,11,0,1
158,Laidback Luke,40.333333333333336,9,17,19
159,Marco Lenzi,49.0,1,0,0
160,Adam Sheridan,53.0,1,0,0
161,Sean Tyas,62.0,5,0,1
162,DJ Feel,57.285714285714285,7,0,0
163,DJ Shah,58.0,1,0,0
164,John O'Callaghan,57.714285714285715,7,1,0
165,Simon Patterson,52.5,4,0,3
166,Laurent Wolf,75.0,3,2,7
167,DJ Hype,71.0,1,9,103
168,Signum,72.0,1,1,3
169,Dirty South,75.4,5,5,3
170,Tiddey,80.33333333333333,3,0,0
171,Greg Downey,82.0,1,0,0
172,Marcel Woods,78.75,4,0,3
173,Solar System,85.0,1,1,0
174,Skazi,79.2,5,0,4
175,Mike Koglin,87.5,2,2,4
176,Solarstone,95.5,2,0,7
177,Astral Projection,80.5,2,1,11
178,Leon Bolier,81.25,4,0,0
179,Tocadisco,91.0,2,6,5
180,Booka Shade,99.0,1,9,7
181,Alex Morph & Woody Van Eyden,100.0,1,0,0
182,Roger Shah,47.5,4,0,0
183,Sebastian Ingrosso,26.333333333333332,6,14,8
184,Kaskade,44.57142857142857,7,33,27
185,tyDi,56.75,4,0,0
186,Boys Noize,80.0,3,7,53
187,Chuckie,49.333333333333336,6,0,1
188,Sharam,73.0,1,0,10
189,Moonbeam,68.75,4,2,0
190,Marcus Schossow,87.5,2,0,0
191,Super8 & Tab,71.0,2,2,2
192,Sied Van Riel,91.0,2,0,0
193,Daniel Kandi,82.0,2,2,0
194,Myon & Shane 54,75.6,5,0,0
195,John B,84.0,2,1,41
196,Antoine Clamaran,96.0,1,0,25
197,Gui Boratto,98.0,1,4,3
198,Alex M.O.R.P.H.,99.0,1,1,1
199,Dash Berlin,13.25,8,11,5
200,Afrojack,8.8,15,52,25
201,Swedish House Mafia,43.9,10,42,25
202,Headhunterz,31.545454545454547,11,12,22
203,Avicii,13.11111111111111,9,106,26
204,Mat Zo,76.0,4,7,19
205,Wolfgang Gartner,62.0,3,6,4
206,W&W,21.333333333333332,15,9,29
207,D-Block & S-te-Fan,62.25,4,1,14
208,Arty,57.4,5,7,6
209,Boy George,86.33333333333333,3,6,17
210,Pete Tha Zouk,55.0,3,0,1
211,Paul Kalkbrenner,86.66666666666667,6,13,53
212,Bloody Beetroots,86.0,2,0,0
213,Arnej,87.0,1,0,0
214,Joris Voorn,88.0,1,0,14
215,Dada Life,47.6,5,13,7
216,Noisecontrollers,57.0,5,3,14
217,Showtek,54.333333333333336,6,15,12
218,Claudia Cazacu,93.0,1,0,0
219,Calvin Harris,24.533333333333335,15,135,21
220,Skrillex,15.928571428571429,14,302,173
221,Hardwell,12.615384615384615,13,14,23
222,Angerfist,42.61538461538461,13,6,110
223,Coone,46.166666666666664,6,0,9
224,Steve Aoki,12.0,14,21,38
225,Zatox,63.833333333333336,6,5,12
226,Orjan Nilsen,52.25,4,0,0
227,Alesso,40.07142857142857,14,15,8
228,Francis Davila,70.0,2,0,0
