DJ Name,Num Sampled
Sasha,11
Judge-Jules,2
Andy-C,8
Jeff-Mills,0
DJ-Vibe,0
Kai-Tracid,0
DJ-Yahel,0
Ricky-Stone,0
Armand-Van-Helden,36
The-Flash-Brothers,0
Lange,6
John-Graham,0
Filo-&-Peri,1
DJ-Tarkan,0
Steve-Porter,1
Fedde-Le-Grand,10
Yahel,2
Hype,0
Westbam,29
Dubfire,2
Booka-Shade,9
Marcus-Schossow,0
D-Block-&-S-te-Fan,1
AN21,2
Porter-Robinson,146
Tommy-Trash,3
Thomas-Gold,1
Dillon-Francis,7
Adaro,0
MAKJ,4
Swanky-Tunes,0
Vintage-Culture,1
Breathe-Carolina,6
Illenium,14
Plastik-Funk,5
Aryue,0
Burak-Yeter,0
GORDO,0
Beauz,0
Maddix,0
John-Summit,4
DubVision,2
Giuseppe-Ottaviani,0
MEDUZA,19
Hernan-Cattaneo,0
