DJ Name,Num Sampled
Tiësto,53
Paul van Dyk,5
Armin Van Buuren,27
Sasha,0
Ferry Corsten,7
Hernan Cattaneo,0
Christopher Lawrence,0
John Digweed,0
Paul Oakenfold,0
Deep Dish,0
Carl Cox,6
Sander Kleinenberg,0
ATB,20
Judge Jules,0
James Zabiela,0
Marco V,2
Roger Sanchez,16
Benny Benassi,62
Tall Paul,0
Danny Howells,0
Steve Lawler,0
Erick Morillo,14
Chris Liebing,1
DJ Dan,0
Eddie Halliwell,0
Andy C,0
Mauro Picotto,19
Johan Gielen,0
Lady Dana,0
Lisa Lashes,1
Adam Freeland,7
Markus Schulz,2
Yoji Biomehanika,0
Sven Väth,3
Bad Boy Bill,2
James Holden,3
Dave Clarke,0
Blank & Jones,2
Above & Beyond,10
Danny Tenaglia,24
Gabriel & Dresden,0
TBC,0
Nick Warren,0
Richie Hawtin,0
Laurent Garnier,5
Pete Tong,0
Jeff Mills,0
Satoshi Tomiie,31
Misstress Barbara,0
Adam Beyer,0
Fatboy Slim,152
John '00' Fleming,0
Plump DJ's,0
David Morales,10
Umek,1
Lee Burridge,0
Dave Seaman,1
Fergie,75
Matt Hardwick,0
Slacker,2
DJ Luna,0
M.I.K.E.,0
DJ Rush,8
Max Graham,0
Infected Mushroom,8
Mario Piu,0
David Guetta,175
DJ Vibe,0
Kai Tracid,0
Tiga,5
DJ Yahel,0
Andy Moor,4
Ricardo Villalobos,1
Ricky Stone,0
Martin Garcia,0
Frank T.R.A.X,0
Timo Maas,0
Desyn Masiello,0
Victor Calderone,0
Armand Van Helden,0
Michel De Hey,0
The Flash Brothers,0
Donald Glaude,0
Chus & Ceballos,0
DJ Tatana,0
Astrix,0
Nic Fanciulli,1
Rank 1,2
BT,34
Anne Savage,0
Miss Kitten,0
Felix Da Housecat,6
Christian Cambas,0
Scot Project,0
Cosmic Gate,6
Matt Darey,3
DJ Sammy,15
Proteus,0
Moshic,0
DJ Amadeus,0
Gigi D'Agostino,124
Marco Bailey,2
Magda,0
John Acquaviva,0
Flash Brothers,0
Offer Nissim,0
Sander Van Doorn,4
Gareth Emery,1
Phil Kieran,0
DJ Skazi,0
D-Formation,0
The Thrillseekers,1
Kyau & Albert,3
Bob Sinclair,0
Lange,0
Wrecked Machines,0
Dion Mavath,0
George Acosta,0
Joachim Garraud,0
Steve Angello,14
Simon Posford,0
John Graham,0
Menno De Jong,0
Scott K,0
Filo & Peri,0
DJ Tarkan,0
Anderson Noise,0
Serge Devant,0
Darude,41
Tallah 2XLC,0
Ronski Speed,1
Axel Karakasis,0
Steve Porter,0
Axwell,12
Stanton Warriors,2
Robbie Rivera,0
Agnelli & Nelson,0
Fedde Le Grand,0
Yahel,0
Eric Prydz,24
Mark Knight,0
Justice,188
