,DJ Name,Mean Ranking,Num Years,Num Sampled,Bayesian Ranking
0,Tiësto,7.142857142857143,21,53,12.485315533980582
1,Paul van Dyk,29.714285714285715,21,5,32.23531553398058
2,Armin Van Buuren,2.9523809523809526,21,27,8.818648867313916
3,Sasha,16.25,8,11,25.422506619594
4,Ferry Corsten,47.285714285714285,21,7,47.61031553398058
10,Carl Cox,33.285714285714285,21,6,35.36031553398058
12,ATB,35.666666666666664,21,20,37.44364886731392
13,Judge Jules,28.375,8,2,34.240688437775816
15,Marco V,33.0,7,2,38.0647572815534
16,Roger Sanchez,46.625,8,16,47.51341571050309
17,Benny Benassi,37.5,10,62,40.35750560119492
21,Erick Morillo,39.25,8,14,42.14977934686672
22,Chris Liebing,49.6,5,1,49.70594660194175
25,Andy C,73.54545454545455,11,8,68.474826629681
26,Mauro Picotto,49.6,5,19,49.70594660194175
29,Lisa Lashes,70.0,6,1,63.29417475728155
30,Adam Freeland,31.0,1,7,45.161893203883494
31,Markus Schulz,30.357142857142858,14,2,33.802798400913765
33,Sven Väth,44.375,8,3,45.87705207413945
34,Bad Boy Bill,47.6,5,2,48.45594660194175
35,James Holden,44.0,4,3,46.52108183079057
37,Blank & Jones,48.5,6,2,48.96084142394822
38,Above & Beyond,22.857142857142858,21,10,26.235315533980582
39,Danny Tenaglia,44.4,5,24,46.45594660194175
44,Laurent Garnier,66.0,3,5,57.94126213592233
46,Jeff Mills,62.666666666666664,3,4,56.274595469255665
47,Satoshi Tomiie,60.5,2,31,54.129514563106795
50,Fatboy Slim,75.42857142857143,7,152,67.7647572815534
53,David Morales,54.0,1,10,50.911893203883494
54,Umek,60.666666666666664,12,1,58.509838187702265
56,Dave Seaman,77.25,4,1,65.52108183079056
57,Fergie,67.66666666666667,3,75,58.774595469255665
59,Slacker,60.0,1,2,52.411893203883494
62,DJ Rush,64.0,2,8,55.529514563106794
64,Infected Mushroom,31.181818181818183,11,8,35.18911234396671
66,David Guetta,7.05,20,175,12.636850991979738
69,Tiga,55.25,4,5,52.949653259361995
71,Andy Moor,38.5,8,4,41.60432480141218
72,Ricardo Villalobos,50.75,4,1,50.378224687933425
79,Armand Van Helden,73.5,2,36,59.3295145631068
86,Nic Fanciulli,79.5,4,1,66.80679611650486
87,Rank 1,79.0,2,2,61.529514563106794
88,BT,76.75,4,34,65.23536754507629
91,Felix Da Housecat,87.0,1,6,59.161893203883494
94,Cosmic Gate,58.333333333333336,9,6,56.220631067961165
95,Matt Darey,63.714285714285715,7,3,59.5647572815534
96,DJ Sammy,76.5,2,15,60.529514563106794
100,Gigi D'Agostino,98.0,1,124,61.911893203883494
101,Marco Bailey,76.0,2,2,60.3295145631068
106,Sander Van Doorn,29.6,10,4,34.28058252427184
107,Gareth Emery,28.444444444444443,9,1,33.8039644012945
111,The Thrillseekers,61.25,4,1,56.378224687933425
112,Kyau & Albert,40.8,5,3,44.20594660194175
114,Lange,49.333333333333336,6,6,49.516396979503774
119,Steve Angello,43.714285714285715,14,14,44.802798400913765
124,Filo & Peri,80.5,2,1,62.129514563106795
128,Darude,84.0,1,41,58.411893203883494
130,Ronski Speed,73.2,5,1,64.45594660194175
132,Steve Porter,91.0,1,1,60.161893203883494
133,Axwell,28.11111111111111,9,12,33.5539644012945
134,Stanton Warriors,94.0,1,2,60.911893203883494
137,Fedde Le Grand,28.61111111111111,18,10,31.649884419787334
138,Yahel,58.0,3,2,53.94126213592233
139,Eric Prydz,38.55555555555556,18,24,40.17369394359686
141,Justice,73.75,4,188,63.52108183079057
142,Daft Punk,46.4,10,776,47.20365944734877
143,Martin Solveig,59.75,8,24,57.058870255957636
145,Trentemøller,76.0,1,9,56.411893203883494
146,The Chemical Brothers,85.0,2,105,63.92951456310679
147,Luciano,88.33333333333333,3,1,69.107928802589
150,Westbam,92.0,1,29,60.411893203883494
154,Deadmau5,35.64705882352941,17,83,37.7823786407767
156,Dubfire,50.0,3,2,49.94126213592233
158,Laidback Luke,40.333333333333336,9,17,42.720631067961165
164,John O'Callaghan,57.714285714285715,7,1,55.364757281553395
166,Laurent Wolf,75.0,3,2,62.44126213592233
167,DJ Hype,71.0,1,9,55.161893203883494
168,Signum,72.0,1,1,55.411893203883494
