,Year,Rank,DJ Name
1,2004,1,Tiësto
3,2004,2,Paul van Dyk
5,2004,3,Armin Van Buuren
7,2004,4,Sasha
9,2004,5,Ferry Corsten
11,2004,6,Hernan Cattaneo
13,2004,7,Christopher Lawrence
15,2004,8,John Digweed
17,2004,9,Paul Oakenfold
19,2004,10,Deep Dish
21,2004,11,Carl Cox
23,2004,12,Sander Kleinenberg
25,2004,13,ATB
27,2004,14,Judge Jules
29,2004,15,James Zabiela
31,2004,16,Marco V
33,2004,17,Roger Sanchez
35,2004,18,Benny Benassi
37,2004,19,Tall Paul
39,2004,20,Danny Howells
41,2004,21,Steve Lawler
43,2004,22,Erick Morillo
45,2004,23,Chris Liebing
47,2004,24,DJ Dan
49,2004,25,Eddie Halliwell
51,2004,26,Andy C
53,2004,27,Mauro Picotto
55,2004,28,Johan Gielen
57,2004,29,Lady Dana
59,2004,30,Lisa Lashes
61,2004,31,Adam Freeland
63,2004,32,Markus Schulz
65,2004,33,Yoji Biomehanika
67,2004,34,Sven Väth
69,2004,35,Bad Boy Bill
71,2004,36,James Holden
73,2004,37,Dave Clarke
75,2004,38,Blank & Jones
77,2004,39,Above & Beyond
79,2004,40,Danny Tenaglia
81,2004,41,Gabriel & Dresden
83,2004,42,TBC
85,2004,43,Nick Warren
87,2004,44,Richie Hawtin
89,2004,45,Laurent Garnier
91,2004,46,Pete Tong
93,2004,47,Jeff Mills
95,2004,48,Satoshi Tomiie
97,2004,49,Misstress Barbara
99,2004,50,Adam Beyer
101,2004,51,Fatboy Slim
103,2004,52,John '00' Fleming
105,2004,53,Plump DJ's
107,2004,54,David Morales
109,2004,55,Umek
111,2004,56,Lee Burridge
113,2004,57,Dave Seaman
115,2004,58,Fergie
117,2004,59,Matt Hardwick
119,2004,60,Slacker
121,2004,61,DJ Luna
123,2004,62,M.I.K.E.
125,2004,63,DJ Rush
127,2004,64,Max Graham
129,2005,1,Paul van Dyk
131,2005,2,Tiësto
133,2005,3,Armin Van Buuren
135,2005,4,Sasha
137,2005,5,Ferry Corsten
139,2005,6,John Digweed
141,2005,7,Hernan Cattaneo
143,2005,8,Deep Dish
145,2005,9,ATB
147,2005,10,Carl Cox
149,2005,11,Paul Oakenfold
151,2005,12,Richie Hawtin
153,2005,13,James Zabiela
155,2005,14,Christopher Lawrence
